Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,"CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AbstractHiveService.java,6.0,0.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,81.0,0.76,1.0,4.5625,22.0,1.0,1.375,3.0,1.0,0.0,0.0,0.0,0.1875,1.0,0.0
AbstractIndexHandler.java,6.0,0.0,0.0,2.0,2.0,1.0,2.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.82,0.0,0.6666666666666666,1.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0
AbstractJoinTaskDispatcher.java,26.0,1.0,4.0,5.0,5.0,2.0,2.0,22.0,2.0,1.0,0.0,0.0,0.0,2.0,7.0,1.0,20.0,0.33,1.0,4.2,7.0,1.0,7.6,12.0,0.0,0.0,0.0,0.0,2.8,5.0,0.0
AbstractMapJoinOperator.java,9.0,1.0,0.0,1.0,1.0,1.0,2.0,12.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,80.0,0.35,1.0,5.5,13.0,1.0,6.25,16.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0
AbstractMapJoinTableContainer.java,4.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,25.0,0.72,1.0,3.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractMapOperator.java,7.0,0.0,1.0,2.0,2.0,1.0,3.0,22.0,2.0,2.0,0.0,0.0,1.0,2.0,6.0,2.0,80.0,0.49,1.0,3.6666666666666665,13.0,0.0,2.4166666666666665,10.0,0.0,0.0,0.0,0.0,0.4166666666666667,2.0,0.0
AbstractOperatorDesc.java,4.0,0.0,0.0,1.0,1.0,1.0,2.0,9.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,88.0,0.22,0.0,5.444444444444445,23.0,1.0,1.0555555555555556,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractOutputFormat.java,12.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.47,1.0,1.0,1.0,0.0,1.5,6.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0
AbstractParquetMapInspector.java,10.0,1.0,0.0,3.0,3.0,2.0,1.3333333333333333,7.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.6666666666666667,20.666666666666668,0.1,0.0,1.8421052631578947,7.0,1.0,2.631578947368421,5.0,1.0,0.0,0.0,0.0,0.3157894736842105,2.0,0.0
AbstractPrimitiveJavaObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,19.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.87,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AbstractPrimitiveLazyObjectInspector.java,4.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,17.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.91,0.0,4.0,8.0,1.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
