Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
Query.java,7.0,0.0,2.0,2.0,2.0,1.0,1.4017094017094016,10.743589743589745,0.0854700854700854,2.0,0.0,2.0,0.0,5.0,1.4871794871794872,29.07692307692308,0.5,0.0,3.523927392739274,32.0,0.0,3.857260726072607,48.0,0.0,0.0,0.0,0.0,0.4595709570957095,9.0,0.0
Query.java,13.0,0.0,1.0,3.0,3.0,2.0,1.4017094017094016,10.743589743589745,0.0854700854700854,6.0,3.0,1.0,2.0,26.0,1.4871794871794872,29.07692307692308,0.05,0.0,3.523927392739274,32.0,0.0,3.857260726072607,48.0,0.0,0.0,0.0,0.0,0.4595709570957095,9.0,0.0
Query.java,7.0,0.0,3.0,1.0,1.0,1.0,1.4017094017094016,10.743589743589745,0.0854700854700854,2.0,1.0,0.0,4.0,2.0,1.4871794871794872,29.07692307692308,1.03,0.0,3.523927392739274,32.0,0.0,3.857260726072607,48.0,0.0,0.0,0.0,0.0,0.4595709570957095,9.0,0.0
QueryDisplay.java,5.0,0.0,1.0,1.0,1.0,1.0,1.0,17.0,0.0,3.0,0.0,0.0,1.0,6.0,1.0,68.66666666666667,0.26,1.0,2.888888888888889,8.0,1.0,3.1777777777777776,27.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.0,0.0
QueryExecutionBreakdownSummary.java,12.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,55.0,0.47,3.0,6.666666666666667,13.0,2.0,3.6666666666666665,6.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
QueryFactory.java,14.0,0.0,6.0,1.0,1.0,1.0,1.0,6.5,0.0,1.0,0.0,0.0,0.0,2.0,1.0,52.0,0.95,1.0,2.583333333333333,6.0,3.0,4.583333333333333,6.0,0.0,0.0,0.0,0.0,0.0833333333333333,1.0,0.0
QueryFailedException.java,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QueryFragmentCounters.java,6.0,0.0,0.0,2.0,2.0,1.0,2.0,12.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,69.0,0.22,2.0,5.75,15.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.4166666666666667,2.0,0.0
QueryFragmentInfo.java,9.0,0.0,2.0,2.0,2.0,2.0,1.0,18.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,69.0,0.3,1.0,3.3846153846153846,8.0,1.0,2.923076923076923,11.0,0.0,0.0,0.0,0.0,0.6923076923076923,5.0,0.0
QueryIdentifier.java,9.0,1.0,0.0,2.0,2.0,2.0,1.4,9.0,0.0,1.0,0.0,0.0,0.0,4.0,1.6,32.6,0.67,0.0,2.869565217391304,20.0,0.0,2.963768115942029,14.0,0.0,0.0,0.0,0.0,0.427536231884058,3.0,0.0
