Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,Bugs
OpenCSVSerde.java,14.0,2.0,12.0,1.0,2.0,2.0,3.0,2.0,38.0,38.0,0.0,1.0,0.0,4.0,9.0,9.0,9.0,7.0,9.0,22.0,0.0,3.0,0.0,6.0,62.0,208.0,35.0,144.0,68.0,71.0,29.0,58.0,31.0,87.0,110.0,62.0,58.0,1.0,6.0,6.0,7.0,2.0,3.0,42.0,42.0,0.2,22.0,22.0,23.0,0.0
OpenTxnRequest.java,10.0,1.0,9.0,1.0,3.0,2.0,3.0,11.0,48.0,48.0,0.0,6.0,3.0,10.0,53.0,51.0,50.0,11.0,53.0,45.0,1.0,2.0,0.0,50.0,164.0,702.0,95.0,578.0,142.0,350.0,41.0,142.0,306.0,275.0,407.0,124.0,305.0,1.0,14.0,14.0,28.0,2.0,3.0,0.0,0.0,0.07,140.0,125.0,157.0,0.0
OpenTxnsResponse.java,8.0,0.0,7.0,0.0,2.0,2.0,2.0,22.0,111.0,111.0,0.0,6.0,3.0,5.0,41.0,39.0,38.0,4.0,41.0,71.0,1.0,2.0,0.0,38.0,223.0,438.0,67.0,346.0,110.0,164.0,28.0,202.0,177.0,154.0,236.0,101.0,149.0,2.0,6.0,6.0,9.0,2.0,4.0,0.0,0.0,0.08,75.0,75.0,80.0,0.0
Operation.java,7.0,0.0,6.0,1.0,2.0,2.0,2.0,201.0,1255.0,1255.0,13.0,1.0,0.0,8.0,40.0,44.0,44.0,14.0,44.0,1388.0,0.0,0.0,19.0,25.0,3023.0,410.0,56.0,298.0,110.0,142.0,56.0,2667.0,3369.0,143.0,207.0,103.0,113.0,1.0,7.0,7.0,8.0,3.0,4.0,0.0,0.0,0.19,62.0,62.0,64.0,1.0
Operation2Privilege.java,7.0,0.0,4.0,2.0,1.0,1.0,1.0,3.0,25.0,25.0,0.0,3.0,6.0,9.0,16.0,14.0,10.0,6.0,16.0,15.0,2.0,9.0,0.0,5.0,23.0,485.0,57.0,344.0,53.0,281.0,85.0,30.0,21.0,165.0,186.0,46.0,151.0,1.0,5.0,5.0,8.0,1.0,2.0,80.0,40.0,0.25,18.0,18.0,21.0,1.0
OperationHandle.java,6.0,0.0,6.0,0.0,1.0,1.0,1.0,13.0,64.0,64.0,0.0,1.0,0.0,0.0,11.0,11.0,11.0,3.0,11.0,118.0,0.0,0.0,0.0,11.0,524.0,102.0,14.0,70.0,25.0,34.0,18.0,272.0,376.0,34.0,50.0,22.0,30.0,1.0,5.0,5.0,5.0,2.0,1.0,0.0,0.0,0.26,16.0,16.0,16.0,0.0
OperationLog.java,8.0,0.0,6.0,1.0,2.0,2.0,2.0,7.0,101.0,101.0,2.0,4.0,4.0,2.0,19.0,17.0,15.0,12.0,19.0,68.0,4.0,2.0,1.0,12.0,253.0,225.0,27.0,150.0,45.0,77.0,48.0,249.0,182.0,65.0,103.0,43.0,64.0,1.0,8.0,8.0,9.0,2.0,3.0,46.0,33.0,0.32,35.0,35.0,36.0,0.0
OperationLoggingAPITestBase.java,14.0,1.0,11.0,2.0,1.0,1.0,1.0,1.0,24.0,24.0,2.0,1.0,1.0,7.0,13.0,13.0,12.0,5.0,13.0,13.0,0.0,3.0,2.0,8.0,72.0,252.0,29.0,174.0,88.0,101.0,49.0,55.0,23.0,106.0,131.0,74.0,76.0,1.0,4.0,4.0,4.0,1.0,2.0,76.0,73.0,0.28,19.0,19.0,19.0,0.0
OperationManager.java,7.0,0.0,7.0,0.0,1.0,1.0,2.0,1.0,45.0,45.0,0.0,1.0,0.0,0.0,30.0,30.0,30.0,2.0,30.0,42.0,0.0,7.0,0.0,23.0,143.0,316.0,41.0,245.0,114.0,115.0,30.0,114.0,52.0,123.0,170.0,94.0,103.0,1.0,5.0,5.0,6.0,2.0,2.0,83.0,55.0,0.12,44.0,44.0,49.0,0.0
OperationState.java,8.0,0.0,8.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,6.0,6.0,10.0,8.0,0.0,1.0,0.0,0.0,7.0,55.0,107.0,10.0,74.0,22.0,40.0,23.0,15.0,29.0,19.0,30.0,11.0,19.0,1.0,21.0,6.0,21.0,0.0,2.0,0.0,0.0,0.31,26.0,11.0,26.0,0.0
OperationStatus.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,49.0,228.0,228.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,157.0,0.0,0.0,0.0,3.0,526.0,43.0,7.0,15.0,7.0,4.0,21.0,521.0,1698.0,7.0,11.0,7.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.4,3.0,3.0,3.0,0.0
OperationType.java,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,47.0,24.0,1.0,6.0,5.0,0.0,17.0,27.0,30.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0
OperationType.java,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0,5.0,3.0,4.0,10.0,5.0,1.0,1.0,0.0,0.0,4.0,47.0,58.0,8.0,28.0,16.0,6.0,22.0,27.0,30.0,8.0,14.0,8.0,6.0,1.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,0.79,5.0,5.0,5.0,0.0
OperatorComparatorFactory.java,13.0,1.0,13.0,0.0,2.0,2.0,5.0,39.0,170.0,170.0,0.0,21.0,6.0,3.0,26.0,27.0,21.0,0.0,27.0,26.0,5.0,1.0,0.0,21.0,83.0,552.0,70.0,459.0,161.0,267.0,23.0,191.0,46.0,208.0,276.0,141.0,173.0,2.0,6.0,6.0,12.0,1.0,3.0,0.0,0.0,0.05,49.0,49.0,130.0,0.0
