,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Bugs
3631,TestTestExecutor.java,13.0,0.0,13.0,0.0,1.0,2.0,0.0,3.0,6.0,6.0,6.0,11.0,6.0,0.0,0.0,0.0,6.0,142.0,8.0,116.0,58.0,57.0,18.0,83.0,91.0,53.0,42.0,2.0,1.0,0.16,7.0,0.0
3632,TestTestLogger.java,21.0,0.0,21.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,54.0,5.0,31.0,18.0,18.0,18.0,26.0,28.0,17.0,18.0,1.0,0.0,0.58,1.0,0.0
3633,TestTestParser.java,17.0,0.0,17.0,0.0,1.0,1.0,0.0,2.0,6.0,6.0,6.0,8.0,6.0,0.0,1.0,0.0,5.0,156.0,9.0,129.0,45.0,85.0,18.0,104.0,112.0,39.0,80.0,1.0,1.0,0.14,6.0,0.0
3634,TestTezSessionPool.java,15.0,1.0,14.0,0.0,3.0,3.0,0.0,1.0,12.0,12.0,12.0,4.0,12.0,0.0,0.0,0.0,12.0,241.0,35.0,189.0,56.0,117.0,18.0,109.0,144.0,50.0,108.0,6.0,2.0,0.1,30.0,1.0
3635,TestTezTask.java,18.0,2.0,16.0,0.0,1.0,3.0,0.0,0.0,11.0,11.0,11.0,12.0,11.0,0.0,0.0,0.0,11.0,278.0,34.0,226.0,111.0,124.0,22.0,164.0,185.0,105.0,101.0,5.0,4.0,0.1,16.0,0.0
3636,TestTezWork.java,13.0,2.0,12.0,1.0,2.0,4.0,0.0,1.0,15.0,15.0,15.0,2.0,15.0,0.0,1.0,0.0,14.0,235.0,40.0,178.0,61.0,117.0,26.0,117.0,144.0,59.0,106.0,3.0,2.0,0.15,23.0,0.0
3637,TestThatEvolvedSchemasActAsWeWant.java,62.0,5.0,49.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,10.0,65.0,30.0,46.0,25.0,35.0,37.0,27.0,18.0,1.0,0.0,0.38,1.0,0.0
3638,TestThriftBinaryCLIService.java,11.0,2.0,7.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,92.0,19.0,37.0,20.0,13.0,36.0,21.0,26.0,14.0,12.0,1.0,0.0,0.97,4.0,0.0
3639,TestThriftHttpCLIService.java,11.0,1.0,8.0,3.0,1.0,2.0,3.0,2.0,14.0,14.0,11.0,1.0,14.0,0.0,4.0,0.0,10.0,239.0,36.0,141.0,78.0,65.0,64.0,84.0,105.0,64.0,54.0,2.0,1.0,0.45,17.0,0.0
3640,TestThriftObjectInspectors.java,77.0,9.0,64.0,5.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,197.0,23.0,144.0,41.0,118.0,30.0,98.0,106.0,38.0,85.0,4.0,2.0,0.21,7.0,0.0
