Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
SimpleFetchOptimizer.java,16.0,1.0,15.0,0.0,4.0,4.0,5.0,3.0,2.0,88.0,88.0,0.0,2.0,1.0,0.0,22.0,0.0,22.0,21.0,10.0,22.0,26.0,0.0,16.0,0.0,6.0,86.0,489.0,43.0,400.0,151.0,218.0,47.0,160.0,3.0,225.0,309.0,147.0,203.0,3.0,9.0,9.0,12.0,2.0,4.0,77.0,71.0,0.12,79.0,79.0,103.0,63.0,1.0
SkewJoinOptimizer.java,24.0,2.0,17.0,5.0,4.0,4.0,4.0,2.0,5.0,74.0,74.0,0.0,3.0,3.0,1.0,25.0,0.0,25.0,22.0,4.0,25.0,29.0,0.0,15.0,0.0,10.0,69.0,727.0,90.0,479.0,195.0,266.0,158.0,158.0,2.0,244.0,347.0,169.0,225.0,2.0,20.0,20.0,24.0,2.0,6.0,57.0,57.0,0.33,88.0,88.0,105.0,47.0,1.0
SqlFunctionConverter.java,18.0,1.0,17.0,1.0,4.0,4.0,4.0,1.0,6.0,84.0,84.0,0.0,6.0,11.0,4.0,18.0,0.0,18.0,7.0,11.0,18.0,18.0,2.0,7.0,0.0,9.0,122.0,464.0,42.0,381.0,126.0,225.0,43.0,87.0,4.0,205.0,280.0,116.0,186.0,3.5,16.0,16.0,16.0,2.0,4.0,0.0,0.0,0.11,75.0,69.0,79.0,20.0,0.0
StatsTask.java,22.0,2.0,18.0,3.0,4.0,4.0,5.0,2.0,4.0,95.0,95.0,0.0,1.0,0.0,2.0,15.0,0.0,15.0,15.0,2.0,15.0,178.0,0.0,10.0,1.0,4.0,165.0,419.0,55.0,301.0,97.0,178.0,68.0,334.0,4.0,144.0,217.0,95.0,154.0,4.0,20.0,20.0,23.0,2.0,4.0,84.5,73.5,0.23,67.0,67.0,77.0,25.0,0.0
StatsUtils.java,27.0,2.0,20.0,5.0,5.0,5.0,7.0,2.0,2.0,110.0,110.0,0.0,1.0,51.0,1.0,51.0,0.0,51.0,0.0,0.0,51.0,52.0,0.0,15.0,0.0,36.0,355.0,1561.0,142.0,1122.0,333.0,773.0,297.0,449.0,3.0,573.0,838.0,333.0,619.0,3.0,19.0,19.0,25.0,1.0,4.0,0.0,0.0,0.26,259.0,255.0,339.0,127.0,1.0
Stmt.java,20.0,0.0,17.0,3.0,4.0,4.0,4.0,2.0,1.0,67.0,67.0,0.0,1.0,0.0,0.0,53.0,0.0,53.0,53.0,5.0,53.0,53.0,11.0,0.0,0.0,42.0,387.0,1138.0,59.0,916.0,176.0,631.0,167.0,527.0,2.0,503.0,703.0,190.0,602.0,2.0,16.0,16.0,18.0,1.0,7.0,76.0,70.0,0.18,199.0,199.0,215.0,81.0,0.0
StorageDescriptor.java,14.0,1.0,14.0,1.0,4.0,3.0,4.0,2.0,48.0,454.0,454.0,1.0,6.0,3.0,20.0,104.0,0.0,102.0,101.0,27.0,104.0,821.0,1.0,2.0,0.0,101.0,3005.0,1748.0,173.0,1538.0,272.0,999.0,73.0,2764.0,1.0,731.0,1084.0,257.0,890.0,1.0,38.0,38.0,82.0,2.0,4.0,61.0,50.5,0.05,398.0,343.0,452.0,180.0,0.0
StringGroupConcatColCol.java,31.0,2.0,26.0,4.0,8.0,8.0,9.0,2.0,1.0,11.0,11.0,0.0,1.0,2.0,1.0,13.0,0.0,13.0,11.0,3.0,13.0,24.0,0.0,2.0,0.0,11.0,40.0,455.0,40.0,344.0,54.0,226.0,73.0,24.0,1.0,167.0,269.0,75.0,194.0,1.0,84.0,84.0,100.0,2.0,5.0,69.0,69.0,0.21,101.0,101.0,119.0,26.0,0.0
Table.java,15.0,1.0,14.0,1.0,4.0,3.0,5.0,2.0,453.0,3492.0,3492.0,44.0,6.0,3.0,23.0,108.0,0.0,106.0,105.0,31.0,108.0,3825.0,1.0,2.0,0.0,105.0,17364.0,1849.0,187.0,1623.0,281.0,1087.0,81.0,18243.0,1.0,777.0,1148.0,253.0,957.0,1.0,44.0,44.0,94.0,4.0,4.0,24.0,17.0,0.05,427.0,362.0,488.0,196.0,0.0
Task.java,14.0,0.0,13.0,1.0,4.0,3.0,4.0,2.0,238.0,2931.0,2931.0,48.0,6.0,3.0,15.0,80.0,0.0,78.0,77.0,19.0,80.0,2981.0,1.0,2.0,0.0,77.0,6578.0,1295.0,133.0,1117.0,216.0,705.0,69.0,9295.0,1.0,531.0,786.0,204.0,626.0,1.0,26.0,26.0,54.0,3.0,4.0,0.0,0.0,0.06,280.0,245.0,314.0,132.0,1.0
