Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceVariable,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountLine,CountLineBlank,CountLineComment,CountPath,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,Bugs
AbstractTestAuthorizationApiAuthorizer.java,9.0,0.0,1.0,1.0,1.0,19.0,2.0,11.0,1.0,3.0,20.0,0.0,0.0,0.0,1.0,1.0,211.0,23.0,36.0,1.0,1.0,4.0,1.0,2.0,0.0,0.24,24.0,0.0
AbstractTestGenericUDFOPNumeric.java,12.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,56.0,6.0,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.67,2.0,0.0
AbstractTestParquetDirect.java,7.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,7.0,2.0,13.0,0.0,5.0,0.0,1.0,0.0,173.0,27.0,19.0,1.0,1.0,3.0,2.0,2.0,66.5,0.15,16.0,0.0
AbstractTestPhase.java,10.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,3.0,12.0,6.0,0.0,17.0,2.0,1.0,2.0,139.0,12.0,19.0,1.0,1.0,2.0,1.0,1.0,72.0,0.18,7.0,0.0
AbstractVectorDesc.java,4.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,17.0,1.0,1.0,1.0,1.0,0.0,0.0,2.43,1.0,0.0
AccumuloCompositeRowId.java,13.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,95.0,15.0,48.0,1.0,1.0,2.0,5.0,1.0,25.0,1.5,4.0,0.0
AccumuloConnectionParameters.java,9.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,9.0,17.0,0.0,2.0,3.0,0.0,0.0,230.0,39.0,49.0,1.0,1.0,4.0,1.0,2.0,35.5,0.35,29.0,0.0
AccumuloHiveConstants.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0
AccumuloHiveRow.java,8.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,21.0,0.0,5.0,0.0,0.0,0.0,247.0,36.0,26.0,1.0,1.0,10.0,1.0,3.0,29.0,0.14,44.0,0.0
AccumuloPredicateHandler.java,19.0,2.0,5.0,3.0,2.0,2.0,0.0,1.0,1.0,6.0,16.0,0.0,0.0,0.0,2.0,1.0,426.0,50.0,99.0,1.0,1.0,7.0,1.0,2.0,54.5,0.36,46.0,1.0
AccumuloQTestUtil.java,6.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,21.0,1.0,1.0,1.0,2.0,0.0,0.0,1.62,2.0,0.0
AccumuloRangeGenerator.java,29.0,3.0,6.0,6.0,3.0,3.0,0.0,1.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,7.0,338.0,36.0,75.0,2.0,2.0,14.0,1.0,6.0,39.0,0.32,54.0,0.0
AccumuloRowIdFactory.java,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,8.0,40.0,1.0,1.0,0.0,2.0,0.0,29.0,2.11,0.0,0.0
AccumuloRowSerializer.java,28.0,3.0,6.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,11.0,0.0,6.0,0.0,0.0,9.0,381.0,45.0,89.0,2.0,2.0,15.0,1.0,4.0,36.5,0.36,39.0,0.0
AccumuloSerDe.java,8.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,11.0,0.0,4.0,0.0,0.0,2.0,157.0,26.0,23.0,1.0,1.0,3.0,2.0,2.0,40.0,0.21,16.0,0.0
AccumuloSerDeParameters.java,9.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,10.0,23.0,0.0,5.0,0.0,0.0,3.0,292.0,54.0,53.0,1.0,1.0,4.0,2.0,2.0,39.5,0.29,38.0,0.0
AccumuloStorageHandler.java,15.0,1.0,1.0,3.0,1.0,4.0,0.0,1.0,0.0,2.0,21.0,0.0,4.0,0.0,0.0,3.0,408.0,54.0,49.0,1.0,1.0,9.0,2.0,4.0,71.5,0.16,57.0,0.0
AccumuloTestSetup.java,19.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,127.0,18.0,20.0,2.0,2.0,3.0,2.0,2.0,50.0,0.22,8.0,0.0
AcidCompactionHistoryService.java,5.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,3.0,83.0,7.0,20.0,1.0,1.0,2.0,2.0,1.0,0.0,0.36,7.0,0.0
AcidHouseKeeperService.java,5.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,3.0,74.0,6.0,21.0,1.0,1.0,2.0,2.0,1.0,0.0,0.45,7.0,0.0
AcidInputFormat.java,6.0,0.0,1.0,1.0,1.0,4.0,0.0,6.0,0.0,0.0,11.0,0.0,5.0,6.0,0.0,0.0,242.0,16.0,125.0,1.0,1.0,2.0,1.0,1.0,43.0,1.24,14.0,0.0
AcidOutputFormat.java,6.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,31.0,0.0,15.0,2.0,0.0,0.0,305.0,33.0,120.0,1.0,1.0,3.0,1.0,1.0,93.0,0.78,34.0,0.0
AcidTable.java,6.0,0.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,13.0,0.0,6.0,3.0,0.0,0.0,129.0,20.0,45.0,1.0,1.0,3.0,1.0,1.0,0.0,0.7,17.0,0.0
AcidTableSerializer.java,34.0,3.0,1.0,4.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,117.0,13.0,24.0,3.0,2.5,4.0,1.0,3.0,0.0,0.3,8.0,0.0
AddIndexEvent.java,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,36.0,6.0,17.0,1.0,1.0,1.0,2.0,0.0,0.0,1.31,2.0,0.0
AddPartitionDesc.java,5.0,0.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,1.0,41.0,0.0,16.0,2.0,1.0,0.0,305.0,48.0,69.0,1.0,1.0,4.0,2.0,2.0,70.0,0.37,48.0,0.0
AddPartitionEvent.java,7.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,78.0,13.0,27.0,1.0,2.0,3.0,2.0,1.0,50.5,0.71,7.0,0.0
AddPartitionMessage.java,6.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,54.0,7.0,29.0,1.0,1.0,3.0,3.0,1.0,39.0,1.61,4.0,0.0
AddPartitionReplicationTask.java,17.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,111.0,14.0,20.0,1.0,1.0,2.0,2.0,1.0,0.0,0.26,8.0,0.0
AddResourceProcessor.java,14.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,82.0,10.0,22.0,1.0,1.0,4.0,1.0,1.0,0.0,0.44,6.0,0.0
AdjacencyType.java,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,45.0,7.0,13.0,1.0,1.0,3.0,0.0,1.0,0.0,0.52,5.0,0.0
AdminAuthorizedServlet.java,10.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,45.0,6.0,22.0,2.0,2.0,2.0,2.0,1.0,0.0,1.29,2.0,0.0
AggrStatsInvalidatorFilter.java,14.0,0.0,2.0,3.0,2.0,11.0,0.0,1.0,1.0,1.0,5.0,0.0,4.0,1.0,0.0,0.0,121.0,8.0,34.0,1.0,1.0,8.0,2.0,5.0,73.0,0.43,13.0,0.0
AggregateDefinition.java,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,5.0,0.0,0.0,51.0,6.0,17.0,1.0,1.0,1.0,1.0,0.0,60.0,0.61,5.0,0.0
AggregateIndexHandler.java,36.0,3.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,158.0,18.0,22.0,5.0,5.0,8.0,4.0,4.0,0.0,0.19,15.0,0.0
AggregationDesc.java,5.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,17.0,0.0,7.0,0.0,0.0,0.0,158.0,25.0,23.0,1.0,1.0,4.0,1.0,2.0,79.0,0.21,24.0,1.0
AllVectorTypesRecord.java,36.0,5.0,15.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,12.0,0.0,0.0,0.0,100.0,15.0,37.0,0.0,0.0,1.0,1.0,0.0,0.0,0.77,1.0,0.0
Allocator.java,3.0,0.0,0.0,1.0,1.0,22.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,53.0,5.0,33.0,1.0,1.0,1.0,2.0,0.0,0.0,2.2,1.0,0.0
AlterDatabaseDesc.java,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,13.0,0.0,6.0,0.0,0.0,0.0,98.0,18.0,25.0,1.0,1.0,1.0,2.0,0.0,75.0,0.45,11.0,0.0
AlterHandler.java,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,7.0,98.0,2.0,2.0,0.0,1.0,0.0,58.0,3.92,0.0,0.0
AlterIndexDesc.java,5.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,14.0,0.0,7.0,0.0,0.0,0.0,132.0,18.0,61.0,1.0,1.0,1.0,2.0,0.0,82.0,1.13,12.0,0.0
AlterIndexEvent.java,4.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,43.0,7.0,17.0,1.0,1.0,1.0,2.0,0.0,33.0,0.89,3.0,0.0
AlterPartitionEvent.java,7.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,61.0,8.0,28.0,1.0,1.0,1.0,2.0,0.0,55.0,1.12,4.0,0.0
AlterPartitionMessage.java,5.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,43.0,7.0,21.0,1.0,1.0,3.0,3.0,1.0,39.0,1.4,4.0,0.0
AlterPartitionReplicationTask.java,12.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,88.0,13.0,19.0,1.0,1.0,1.0,2.0,0.0,25.0,0.33,4.0,0.0
AlterTableAlterPartDesc.java,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,56.0,9.0,22.0,1.0,1.0,1.0,2.0,0.0,50.0,0.88,6.0,0.0
