Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
HBaseStore.java,16.0,0.0,1.0,3.0,1.0,1.1428571428571428,43.57142857142857,0.0,2.0,3.0,3.0,11.0,1.1428571428571428,59.142857142857146,0.06,0.0,6.492537313432836,84.0,0.0,12.71641791044776,106.0,0.0,0.0,0.0,0.0,0.8470149253731343,6.0,0.0
HBaseStoreTestUtil.java,15.0,0.0,0.0,4.0,1.0,1.0,10.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.75,5.0,5.0,5.0,6.0,6.0,6.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
HBaseStructValue.java,13.0,2.0,4.0,1.0,1.0,1.0,10.0,1.0,1.0,0.0,0.0,2.0,4.0,75.0,1.48,1.0,3.333333333333333,5.0,3.0,5.666666666666667,8.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
HBaseTableSnapshotInputFormatUtil.java,17.0,0.0,4.0,3.0,3.0,1.0,17.0,0.0,1.0,3.0,0.0,7.0,1.0,0.0,0.55,3.0,5.666666666666667,10.0,1.0,3.333333333333333,8.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
HBaseTestAvroSchemaRetriever.java,7.0,1.0,0.0,2.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.56,1.0,1.3333333333333333,2.0,1.0,3.6666666666666665,5.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0
HBaseTestCompositeKey.java,7.0,1.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,5.0,58.0,0.62,1.0,2.0,3.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0
HBaseTestSetup.java,20.0,2.0,2.0,3.0,1.0,1.0,30.0,0.0,1.0,1.0,1.0,5.0,1.0,54.0,0.25,1.0,6.166666666666667,15.0,1.0,8.333333333333334,19.0,0.0,0.0,0.0,0.0,0.8333333333333334,2.0,0.0
HBaseTestStructSerializer.java,11.0,2.0,3.0,1.0,1.0,1.0,13.0,0.0,1.0,0.0,0.0,2.0,5.0,75.0,0.64,1.0,3.0,5.0,2.0,5.333333333333333,8.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0
HBaseUtils.java,19.0,0.0,3.0,4.0,1.0,1.0,40.0,0.0,4.0,69.0,49.0,24.0,1.5,0.0,0.22,1.0,5.577464788732394,35.0,1.0,13.80281690140845,89.0,0.0,0.0,0.0,0.0,0.8309859154929577,3.0,0.0
HBaseValueFactory.java,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,17.333333333333332,0.6666666666666666,1.0,0.0,4.0,0.0,1.6666666666666667,47.0,2.61,0.0,2.8666666666666667,6.0,0.0,3.066666666666667,7.0,0.0,0.0,0.0,0.0,0.4666666666666667,2.0,0.0
HCatAddPartitionDesc.java,8.0,0.0,3.0,1.0,1.0,1.0,8.5,0.0,2.0,2.0,2.0,2.0,1.0,44.5,0.89,1.0,5.8,16.0,1.0,2.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
